บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
02.05.2024,ต-ค่าทำความสะอาด,5,,ENCDAD01,51662109,,3300008307,02.05.2024,02.05.2024,KR,1P20100,1P20104,1P20104R0402,199990000,,19201,,0,"2,404.14",,ส่วน ตศบ.ฝ่าย ศบ.งวดที่1/3(เมย.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
02.05.2024,ต-ค่าทำความสะอาด,5,,ENCDAD01,51662109,,3300008314,02.05.2024,02.05.2024,KR,1P20100,1P20104,1P20104R0502,199990000,,19201,,0,"2,404.14",,ส่วน ทศบ.ฝ่าย ศบ.งวดที่1/3(เมย.67),,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
03.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS06,51604101,3900001970,3300008481,02.05.2024,02.05.2024,KR,2Q30206,2Q30206,2Q30206R0403,199990000,,10202,,275,700,VX,ค่าเดินทางประชุมติดตามงาน NTSP,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
06.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS12,51604101,3900001974,3300008522,06.05.2024,02.05.2024,KR,2Q30205,2Q30205,2Q30205R0403,199990000,,19201,,625,566,VX,,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS10,51604101,,3300008556,07.05.2024,09.04.2024,KR,2Q30103,2Q30103,2Q30103R0413,199990000,,19201,,230,600,VX,ค่าเดินทางนายอุทัย วันที่ 3 - 5 เมษายน 2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS10,51604101,,3300008559,07.05.2024,02.04.2024,KR,2Q30103,2Q30103,2Q30103R0413,199990000,,19201,,230,600,VX,ค่าเดินทางนายเฉลิมพล วันที่ 24 - 26 เมษายน 2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS10,51604101,,3300008560,07.05.2024,02.05.2024,KR,2Q30103,2Q30103,2Q30103R0413,199990000,,19201,,230,600,VX,ค่าเดินทางนายเฉลิมพล วันที่ 9 - 11 เมษายน 2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS10,51604101,,3300008562,07.05.2024,02.05.2024,KR,2Q30103,2Q30103,2Q30103R0413,199990000,,19201,,230,600,VX,ค่าเดินทางนายสุรชัย วันที่ 9 - 11 เมษายน 2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS10,51604101,,3300008564,07.05.2024,02.05.2024,KR,2Q30103,2Q30103,2Q30103R0413,199990000,,19201,,230,600,VX,ค่าเดินทางนายสุรชัย วันที่ 24 - 26 เมษายน 2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่าสวัสดิการอื่น-พนักงาน,5,,HLSSN01,51602199,3900002001,3300008690,08.05.2024,30.04.2024,KR,1J10400,1J10408,1J10408R0403,199990000,,18103,,0,"5,000.00",,เบิกเงินเจ้าภาพงานศพบิดานายมนตรีฯ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,5,,ECNRCS02,51603108,,3300008695,08.05.2024,03.05.2024,KR,2Q30104,2Q30104,2Q30104R0113,199990000,,19201,,234,"4,339.00",VX,อบรมบำรุงรักษาแบตฯ24-26เมย.67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS02,51604101,,3300008699,08.05.2024,03.05.2024,KR,2Q30104,2Q30104,2Q30104R0113,199990000,,19201,,234,"1,066.00",VX,อบรมการใช้แบตฯ5-6มีค.67,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ENERCS05,51602104,3900002000,3300008708,08.05.2024,22.04.2024,KR,2Q10203,2Q10203,2Q10203R0213,199990000,,19201,,587,"16,305.25",VX,นางจิณณ์ธิชา สินธุเทา,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
08.05.2024,ต-ค่าสื่อสารไปรษณีย์,5,,ERSAD301,51662107,3900002031,3300008822,08.05.2024,01.05.2024,KR,2R20001,2R20006,2R20006R0213,199990000,,19201,,387,101,VX,ลภก.3-เมย.67 ค่าไปรษณีย์,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
09.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ENERCS16,51602104,3900002066,3300008873,09.05.2024,09.05.2024,KR,2Q10305,2Q10305,2Q10305R0413,199990000,,19201,,585,"8,071.00",VX,P1000490  ตนเอง,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
09.05.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,ECCRAD01,51602104,3900002052,3300008879,09.05.2024,25.04.2024,KR,2R10110,2R10110,2R10110R0413,199990000,,19201,,558,"74,688.90",,ค่ารักษาคนไข้ใน มารดานายวิชาลี ศรีสมบัติ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
13.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECNRCS04,51604101,3900002131,3300008995,02.05.2024,02.05.2024,KR,2Q30202,2Q30202,2Q30202R0501,199990000,,19201,,627,600,VX,ขอเบิกเบี้ยเลี้ยงร่วมประชุมติดตามงาน NTSP พิษณุฯ,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
13.05.2024,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,5,,ECSRCS13,51603108,3900002130,3300009007,13.05.2024,13.05.2024,KR,2R20106,2R20106,2R20106R0113,199990000,,19201,,640,"2,000.00",VX,,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
